id,tag,name
257,MX,MX
258,SYS,Syscoin
259,MIM,Magic Internet Money
260,PYR,Vulcan Forged
261,CFG,Centrifuge
262,WCFG,Wrapped Centrifuge
263,SAVAX,BENQI Liquid Staked AVAX
264,ANKRETH,Ankr Staked ETH
265,JUNO,JUNO
266,DESO,Decentralized Social
267,ALICE,My Neighbor Alice
268,XYO,XYO Network
269,RAD,Radicle
270,CTSI,Cartesi
271,ELF,aelf
272,MBOX,Mobox
273,ARRR,Pirate Chain
274,MVL,MVL
275,PROM,Prom
276,WIN,WINkLink
277,CEEK,CEEK Smart VR
278,XSUSHI,xSUSHI
279,DENT,Dent
280,REN,REN
281,MXC,MXC
282,MED,Medibloc
283,COTI,COTI
284,DKA,dKargo
285,POKT,Pocket Network
286,SPELL,Spell
287,ALPHA,Alpha Venture DAO
288,XPRT,Persistence
289,HUM,Humanscape
290,CHR,Chromia
291,ARDR,Ardor
292,NRV,Nerve Finance
293,WRX,WazirX
294,KILT,KILT Protocol
295,REQ,Request
296,EMAID,MaidSafeCoin
297,ORBS,Orbs
298,STEEM,Steem
299,TRAC,OriginTrail
300,ACA,Acala
301,CVC,Civic
302,PHB,Phoenix Global [OLD]
303,CELR,Celer Network
304,VERI,Veritaseum
305,MDX,Mdex
306,FUN,FUN Token
307,C98,Coin98
308,GNS,Gains Network
309,BSW,Biswap
310,IQ,IQ
311,POND,Marlin
312,XVS,Venus
313,DOCK,Dock
314,BFC,Bifrost
315,HEZ,Hermez Network
316,TSUKA,Dejitaru Tsuka
317,SHR,Share
318,CTK,Shentu
319,EVER,Everscale
320,GAL,Galxe
321,BMEX,BitMEX
322,RARE,SuperRare
323,DPX,Dopex
324,STRAX,Stratis
325,PCX,ChainX
326,AXL,Axelar
327,WMT,World Mobile Token
328,PLEX,PLEX
329,NKN,NKN
330,FIDU,Fidu
331,SAITAMA,Saitama
332,RACA,Radio Caca
333,POWR,Power Ledger
334,MLK,MiL.k Alliance
335,PHA,Phala Network
336,UQC,Uquid Coin
337,BOBA,Boba Network
338,SOLO,Sologenic
339,EXRD,e-Radix
340,BNT,Bancor Network
341,RON,Ronin
342,REEF,Reef
343,SURE,inSure DeFi
344,VTHO,VeThor
345,STG,Stargate Finance
346,QKC,QuarkChain
347,HFT,Hashflow
348,KUJI,Kujira
349,LCX,LCX
350,DERO,Dero
351,CORE,cVault.finance
352,UOS,Ultra
353,VLX,Velas
354,JOE,JOE
355,AMPL,Ampleforth
356,FLEXUSD,flexUSD
357,RDPX,Dopex Rebate
358,ECOIN,Ecoin
359,EUL,Euler
360,STPT,STP
361,TEMPLE,TempleDAO
362,CFX,Conflux
363,LQTY,Liquity
364,CCD,Concordium
365,OGN,Origin Protocol
366,POLIS,Star Atlas DAO
367,VOLT,Volt Inu
368,YFII,DFI.money
369,MTL,Metal DAO
370,QUACK,Rich Quack
371,BOR,BoringDAO [OLD]
372,HUNT,Hunt
373,KEEP,Keep Network
374,MEX,xExchange
375,TLM,Alien Worlds
376,KRD,Krypton DAO
377,STMX,StormX
378,DIVI,Divi
379,CANTO,CANTO
380,BETA,Beta Finance
381,SX,SX Network
382,CTXC,Cortex
